service_id,date,exception_type
18SE03-MABlock-Weekday-21,20181016,1
18SE03-MABlock-Weekday-21,20181017,1
18SE03-MABlock-Weekday-21,20181018,1
18SE03-MABlock-Weekday-21,20181019,1
18SE03-MABlock-Weekday-21,20181022,1
18SE03-MABlock-Weekday-21,20181023,1
18SE03-MABlock-Weekday-21,20181024,1
18SE03-MABlock-Weekday-21,20181025,1
18SE03-MABlock-Weekday-21,20181026,1
18SE03-MABlock-Saturday-22,20180908,1
18SE03-MABlock-Saturday-22,20180915,1
18SE03-MABlock-Saturday-22,20180922,1
18SE03-MABlock-Saturday-22,20180929,1
18SE03-MABlock-Saturday-22,20181006,1
18SE03-MABlock-Saturday-22,20181013,1
18SE03-MABlock-Saturday-22,20181020,1
18SE03-MABlock-Saturday-22,20181027,1
18SE03-MABlock-Sunday-23,20180909,1
18SE03-MABlock-Sunday-23,20180916,1
18SE03-MABlock-Sunday-23,20180923,1
18SE03-MABlock-Sunday-23,20180930,1
18SE03-MABlock-Sunday-23,20181007,1
18SE03-MABlock-Sunday-23,20181014,1
18SE03-MABlock-Sunday-23,20181021,1
18SE03-MABlock-Sunday-23,20181028,1
18SE03-MABlock-Holiday1-24,20180903,1
18SE03-MABlock-Holiday1-24,20181008,1
