stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
0077,,"Elm Dr At Hurontario St",,  43.590572, -79.631432,,,0,,America/Toronto,1
0078,,"Elm Dr At Mississauga Valley Blvd",,  43.592210, -79.628434,,,0,,America/Toronto,1
0079,,"Matheson Blvd At Explorer Dr",,  43.652238, -79.614792,,,0,,America/Toronto,1
0080,,"Matheson Blvd At Timberlea Blvd",,  43.631816, -79.644764,,,0,,America/Toronto,1
0081,,"Lisgar Dr At Berryman Tr",,  43.569872, -79.776850,,,0,,America/Toronto,1
0082,,"Lisgar Dr At Dillingwood Dr",,  43.576114, -79.782904,,,0,,America/Toronto,1
0083,,"Lisgar Dr At Yarrow Ave",,  43.573763, -79.780313,,,0,,America/Toronto,1
0085,,"City Centre Transit Terminal Platform L",,  43.594021, -79.647341,,,0,,America/Toronto,1
0087,,"Mavis Rd At Courtneypark Dr",,  43.623792, -79.711615,,,0,place_cormav,,1
0088,,"Lisgar Dr At Berryman Tr",,  43.570222, -79.777561,,,0,,America/Toronto,1
0089,,"Clarkson Go Station Platform 5",,  43.512950, -79.632940,,,0,,America/Toronto,1
0090,,"Mavis Rd South Of Central Pky W",,  43.572442, -79.642394,,,0,,America/Toronto,1
0091,,"Derry Rd At Forest Park Dr",,  43.581178, -79.779074,,,0,,America/Toronto,1
0092,,"Derry Rd West Of Tenth Line",,  43.584204, -79.775718,,,0,,America/Toronto,1
0093,,"Winston Churchill Blvd At Vanderbilt Rd",,  43.584910, -79.766847,,,0,,America/Toronto,1
0094,,"Tours Rd At Millers Grove",,  43.571833, -79.754990,,,0,,America/Toronto,1
0095,,"Hurontario St At Annagem Blvd",,  43.635641, -79.691799,,,0,,America/Toronto,1
0096,,"Hurontario St At Courtneypark Dr E",,  43.637827, -79.694764,,,0,,America/Toronto,1
0097,,"Hurontario St At Courtneypark Dr W",,  43.637231, -79.694567,,,0,,America/Toronto,1
0098,,"Hurontario St At Annagem Blvd",,  43.634862, -79.691395,,,0,,America/Toronto,1
0099,,"Meadowvale Blvd At Tottington Dr",,  43.615138, -79.748817,,,0,,America/Toronto,1
0100,,"Clarkson Go Station Platform 9",,  43.512574, -79.633008,,,0,,America/Toronto,1
0101,,"Clarkson Go Station Platform 4",,  43.512821, -79.632839,,,0,,America/Toronto,1
0103,,"Southdown Rd At South Sheridan Way",,  43.521694, -79.644584,,,0,,America/Toronto,1
0104,,"Southdown Rd At Truscott Dr",,  43.518646, -79.640408,,,0,,America/Toronto,1
0105,,"Southdown Rd At Wiseman Crt",,  43.516101, -79.636914,,,0,,America/Toronto,1
0106,,"Southdown Rd At Bromsgrove Rd",,  43.514792, -79.635125,,,0,,America/Toronto,1
0108,,"Bromsgrove Rd At 2150 Bromsgrove Rd",,  43.512195, -79.637782,,,0,,America/Toronto,1
0109,,"Bromsgrove Rd East Of Seagull Dr",,  43.509345, -79.639665,,,0,,America/Toronto,1
0110,,"Bromsgrove Rd East Of Treadmore Dr",,  43.507688, -79.643462,,,0,,America/Toronto,1
0111,,"Bromsgrove Rd At Tredmore Dr",,  43.505998, -79.645170,,,0,,America/Toronto,1
0112,,"Bromsgrove Rd At Playford Rd",,  43.504538, -79.646588,,,0,,America/Toronto,1
0113,,"Bromsgrove Rd At Cramer St",,  43.501784, -79.649780,,,0,,America/Toronto,1
0114,,"Winston Churchill Blvd South Of Kingsway Dr",,  43.503912, -79.656115,,,0,,America/Toronto,1
0115,,"Bromsgrove Rd At Seagull Dr",,  43.508674, -79.642315,,,0,,America/Toronto,1
0116,,"Truscott Dr At Buckby Rd",,  43.508267, -79.653532,,,0,,America/Toronto,1
0117,,"Truscott Dr At Sandgate Cres",,  43.509478, -79.650103,,,0,,America/Toronto,1
0118,,"Truscott Dr West Of Seagull Dr",,  43.511547, -79.648473,,,0,,America/Toronto,1
0119,,"Truscott Dr At Bodmin Rd",,  43.513133, -79.646248,,,0,,America/Toronto,1
0120,,"Truscott Dr At Lewisham Dr",,  43.515290, -79.643869,,,0,,America/Toronto,1
0121,,"Truscott Dr At Thetford Crt",,  43.518520, -79.641945,,,0,,America/Toronto,1
0122,,"Truscott Dr At Thetford Crt",,  43.518562, -79.641672,,,0,,America/Toronto,1
0123,,"Truscott Dr At Lewisham Dr",,  43.515011, -79.643889,,,0,,America/Toronto,1
0124,,"Truscott Dr At Bodmin Rd",,  43.512248, -79.646837,,,0,,America/Toronto,1
0125,,"Truscott Dr East Of Buckby Rd",,  43.509025, -79.650657,,,0,,America/Toronto,1
0126,,"Truscott Dr East Of Kelly Rd",,  43.511143, -79.648507,,,0,,America/Toronto,1
0127,,"Truscott Dr At Buckby Rd",,  43.508095, -79.653499,,,0,,America/Toronto,1
0128,,"Truscott Dr East Of Winston Churchill Blvd",,  43.505692, -79.657436,,,0,,America/Toronto,1
0129,,"Winston Churchill Blvd At Stockholm Rd",,  43.502973, -79.654404,,,0,,America/Toronto,1
0130,,"Bromsgrove Rd At Cramer St",,  43.502036, -79.649774,,,0,,America/Toronto,1
0131,,"Bromsgrove Rd At Constable Rd",,  43.504168, -79.647314,,,0,,America/Toronto,1
0132,,"Bromsgrove Rd East Of Tredmore Dr",,  43.506615, -79.644798,,,0,,America/Toronto,1
0133,,"Bromsgrove Rd At Seagull Dr",,  43.508880, -79.642174,,,0,,America/Toronto,1
0135,,"Bromsgrove Rd At 2170 Bromsgrove Rd",,  43.512483, -79.637800,,,0,,America/Toronto,1
0136,,"Bromsgrove Rd West Of Southdown Rd",,  43.514399, -79.636087,,,0,,America/Toronto,1
0137,,"Truscott Dr At Winston Churchill Blvd",,  43.505802, -79.657570,,,0,,America/Toronto,1
0138,,"Truscott Dr At Lockhart Rd",,  43.507500, -79.655701,,,0,,America/Toronto,1
0139,,"Clarkson Go Station Platform 7",,  43.512940, -79.633347,,,0,,America/Toronto,1
0140,,"Bromsgrove Rd At Southdown Rd",,  43.514530, -79.634983,,,0,,America/Toronto,1
